topic,rank,term,weight
0,1,ICD_3962,4.751137508232865
0,2,systolic,2.051505999001634
0,3,dysfunction,1.8353196259204727
0,4,ventricular,1.7782297643437959
0,5,left ventricular,1.719542066058279
0,6,systolic dysfunction,1.3534210529179738
0,7,ventricular systolic,1.347765987118676
0,8,left,1.2125509542553887
0,9,vessel,1.1054990013337038
0,10,ventricular hypertrophy,0.9218540754399734
0,11,chest,0.7344798230232261
0,12,regurgitation,0.6907521876025994
0,13,chest pain,0.6842188783548961
0,14,vessel coronary,0.6675543865630742
0,15,hypertrophy,0.6524878731940457
0,16,mitral,0.6203974654997264
0,17,mitral regurgitation,0.5847618773308837
0,18,aortic,0.5384885263319704
0,19,artery systolic,0.5358543463102062
0,20,systolic hypertension,0.5213944155486562
1,1,abnormalities,2.1618236004410947
1,2,airway,2.1507298689060965
1,3,neuromuscular,2.1373822267875155
1,4,airway abnormalities,2.1312961705933815
1,5,neuromuscular disease,2.1291982171736854
1,6,abnormalities chronic,2.0504480899193935
1,7,disease airway,1.994124356046462
1,8,chronic,1.1878015111207536
1,9,lung,1.1834285282627852
1,10,disease,1.173025015372686
1,11,lung disease,1.1477063464213537
1,12,chronic lung,1.1291478166788906
1,13,disease respiratory,0.712244437460346
1,14,milk neuromuscular,0.4871695485225739
1,15,disease sepsis,0.47612834499652273
1,16,ICD_5723,0.3359291274262537
1,17,sepsis neuromuscular,0.29470564484128187
1,18,disease hyperbilirubinemia,0.26245304938225045
1,19,breast milk,0.17263541858294337
1,20,milk,0.1664882622542522
2,1,artery,2.6425440913103166
2,2,artery disease,2.4620736112813497
2,3,coronary,2.440434888317018
2,4,coronary artery,2.4129030177442132
2,5,disease,1.0918175644045236
2,6,hypercholesterolemia,0.5673016009578237
2,7,infarction,0.4602189392828634
2,8,disease myocardial,0.4406724381213464
2,9,myocardial,0.3916872245358549
2,10,pain coronary,0.3885875599049336
2,11,myocardial infarction,0.3805791489128096
2,12,vessel,0.3528013464386247
2,13,hypertension,0.2925415300130854
2,14,disease coronary,0.291216210526664
2,15,hypertension hypercholesterolemia,0.27409763176347196
2,16,ICD_53140,0.26525490833196425
2,17,disease hypertension,0.26089575512302415
2,18,vessel coronary,0.25979610076886184
2,19,ICD_42731,0.23191865981791165
2,20,hypertension coronary,0.1996230904642653
3,1,ventricle,1.618320302190851
3,2,left ventricle,1.6077029162427718
3,3,thickness,1.4393335846144213
3,4,thickness left,1.4158210388517751
3,5,dimension,1.3286514468815205
3,6,septal wall,1.2801404112083956
3,7,wall thickness,1.2801404112083956
3,8,ventricle septal,1.2729212545799276
3,9,inferolateral thickness,1.23876495580301
3,10,ventricle inferolateral,1.23876495580301
3,11,dimension left,1.1697257292251522
3,12,diastolic dimension,1.0935122451414503
3,13,ventricle diastolic,1.0935122451414503
3,14,ejection,1.0536871161720192
3,15,left,1.0470216011748275
3,16,ventricle ejection,1.028022190657213
3,17,diastolic,0.8324637005854806
3,18,ventricle systolic,0.8090266971449044
3,19,systolic dimension,0.8090266971449044
3,20,wall,0.5506225558817095
4,1,ICD_4321,6.587453128627335
4,2,hypercholesterolemia,0.5857064496532093
4,3,vessel,0.5588262262924752
4,4,vessel disease,0.48791448578289726
4,5,hyperlipidemia,0.4337999845463192
4,6,angina,0.3665765872807073
4,7,atrial,0.3117263820866831
4,8,atrial fibrillation,0.2864114699619426
4,9,fibrillation,0.2864089861791809
4,10,chest,0.2695067070294771
4,11,pain,0.24848950538383197
4,12,disease,0.24044787209883614
4,13,exertional,0.23299740311215747
4,14,chest pain,0.22679174684930264
4,15,hypertension,0.2235101327166846
4,16,dyspnea,0.2160453907932498
4,17,hypertension hypercholesterolemia,0.1939819495650167
4,18,left,0.1939669798750369
4,19,gerd,0.19212079786498612
4,20,fever weight,0.1886530209815384
5,1,diabetes mellitus,2.827948472200737
5,2,mellitus,2.7551294309647516
5,3,diabetes,2.634483556922009
5,4,renal disease,0.7123561784004728
5,5,disease diabetes,0.7058597298145765
5,6,stage,0.6880961838986726
5,7,stage renal,0.675394113039505
5,8,type,0.6729333418939201
5,9,end,0.6533250461657767
5,10,end stage,0.6504178942004736
5,11,mellitus type,0.6267063473547639
5,12,insulin,0.5966115839082446
5,13,dependent,0.5910691701539584
5,14,mellitus hypertension,0.5725189325983404
5,15,insulin dependent,0.5592887024062174
5,16,dependent diabetes,0.558026102782911
5,17,diabetic,0.44586642742105637
5,18,hypertension diabetes,0.4296067591177716
5,19,peripheral,0.42278958470898187
5,20,ii,0.41889069741878365
6,1,ICD_3968,4.229986429659997
6,2,respiratory,1.0529905727492663
6,3,respiratory distress,1.0215765914922248
6,4,distress,0.7764803073801386
6,5,palate,0.5472612311772052
6,6,syndrome,0.4230426840762041
6,7,distress syndrome,0.36321143684102375
6,8,sepsis,0.32037024801922726
6,9,apnea bradycardia,0.32023891290284023
6,10,hyperbilirubinemia,0.31915250430723374
6,11,breast,0.31534743455925746
6,12,milk,0.2963526363828923
6,13,palate respiratory,0.2930294079314266
6,14,breast milk,0.2900259653656122
6,15,disease respiratory,0.2768130102709556
6,16,prematurity,0.23574785080331023
6,17,weight,0.2226382094473921
6,18,tachypnea,0.21907260204219037
6,19,sepsis hyperbilirubinemia,0.21832466659659783
6,20,gain,0.21401561077989137
7,1,abdominal pain,1.3221049149116944
7,2,abdominal,1.1945484816764922
7,3,cirrhosis,1.0105424946806625
7,4,ascites,0.9399442149182905
7,5,liver,0.7838233151913553
7,6,gi,0.713183233287226
7,7,abuse,0.7131396029090924
7,8,vomiting,0.697265523080855
7,9,anemia,0.6841882351990368
7,10,pain nausea,0.6181083921542196
7,11,gi bleed,0.6035343060651998
7,12,bleed,0.5977353516132186
7,13,chills,0.5727419319695675
7,14,diarrhea,0.5724753528423233
7,15,nausea vomiting,0.5581851884738275
7,16,pain,0.49102977730535563
7,17,bacteremia,0.44234772515656545
7,18,colitis,0.4313295647152198
7,19,encephalopathy,0.4297367713302674
7,20,alcohol,0.42057172488338085
8,1,ICD_4280,4.427139037408392
8,2,sepsis,0.5227250630738486
8,3,hypotensive,0.509824017617112
8,4,hypotension,0.41242387965630944
8,5,septic,0.3833763514190461
8,6,septic shock,0.3318725616088979
8,7,shock,0.3295321880973681
8,8,failure,0.29184498991602836
8,9,urosepsis,0.28990336568768926
8,10,dementia,0.2689993544968706
8,11,colitis,0.26740860676894823
8,12,pneumonia sepsis,0.2671109166223965
8,13,respiratory,0.2599870100525934
8,14,cough,0.24292936595507317
8,15,acute,0.236383973270999
8,16,acute renal,0.2234917869032946
8,17,anemia,0.2181294640652169
8,18,sepsis hypotension,0.2164274260888901
8,19,renal,0.2141114496408436
8,20,arf,0.21212647752357813
9,1,of,2.0377444772623776
9,2,breath,1.8973248285626951
9,3,shortness,1.8837053504639887
9,4,shortness of,1.8787805225261758
9,5,of breath,1.8696439626493226
9,6,cough,1.7171236619023242
9,7,ICD_7464,1.355084113624412
9,8,pain shortness,1.1808805833878924
9,9,breath chest,0.752536682229473
9,10,chills,0.7164410750356228
9,11,chest,0.705554924630603
9,12,chest pain,0.6597227928634615
9,13,copd,0.5347276811259297
9,14,cancer,0.5255182022292383
9,15,respiratory,0.5138803615575632
9,16,ICD_85222,0.4982257345741386
9,17,dyspnea,0.47544314444493546
9,18,edema,0.44682657644623963
9,19,ICD_9982,0.4335663535926769
9,20,htn,0.4155902861527046
10,1,obstructive,1.5242499315556917
10,2,pulmonary disease,1.4601921379621279
10,3,obstructive pulmonary,1.4308545888233721
10,4,heart,1.3331400353904592
10,5,chronic obstructive,1.3143968095562462
10,6,heart failure,1.2262280717296055
10,7,chronic,1.1980366375734128
10,8,failure,1.138254801339035
10,9,congestive,1.06770406905883
10,10,congestive heart,1.0424117076392867
10,11,ICD_5781,0.7990414785080846
10,12,pulmonary,0.7799281464239636
10,13,atrial,0.6511453316376824
10,14,disease,0.5974072517136472
10,15,atrial fibrillation,0.5810621585129367
